File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
AFW_arithmetics00_1Faults_Fault2.xlsx,8,10,2,3,5,5,18,3,0,3,0,46,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,25,7 (18 diagnoses from 25 are in VBMdiags2),25,7 (18 diagnoses from 25 are in VBMdiags2),56,10 (46 diagnoses from 56 are in VBMdiags3),56,10 (46 diagnoses from 56 are in VBMdiags3),
AFW_arithmetics00_1Faults_Fault3.xlsx,8,10,2,5,5,5,27,2,2,2,2,56,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,25,0 (25 diagnoses from 25 are in VBMdiags2),25,0 (25 diagnoses from 25 are in VBMdiags2),56,0 (56 diagnoses from 56 are in VBMdiags3),56,0 (56 diagnoses from 56 are in VBMdiags3),
AFW_arithmetics00_2Faults_Fault1.xlsx,8,10,2,0,1,1,15,10,8,10,8,45,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,7,0 (7 diagnoses from 7 are in VBMdiags2),7,0 (7 diagnoses from 7 are in VBMdiags2),46,1 (45 diagnoses from 46 are in VBMdiags3),46,1 (45 diagnoses from 46 are in VBMdiags3),
AFW_arithmetics00_2Faults_Fault2.xlsx,8,10,1,8,8,8,28,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,56,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,28,0 (28 diagnoses from 28 are in VBMdiags2),28,0 (28 diagnoses from 28 are in VBMdiags2),56,0 (56 diagnoses from 56 are in VBMdiags3),56,0 (56 diagnoses from 56 are in VBMdiags3),
AFW_arithmetics00_2Faults_Fault3.xlsx,8,11,2,4,5,8,24,2,2,0,- (no 2-fault minimal FDMdiags) -,55,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,25,3 (22 diagnoses from 25 are in VBMdiags2),28,4 (24 diagnoses from 28 are in VBMdiags2),56,1 (55 diagnoses from 56 are in VBMdiags3),56,1 (55 diagnoses from 56 are in VBMdiags3),
AFW_arithmetics00_3Faults_Fault1.xlsx,8,11,2,0,0,3,17,17,17,0,- (no 2-fault minimal FDMdiags) -,46,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,18,1 (17 diagnoses from 18 are in VBMdiags2),46,0 (46 diagnoses from 46 are in VBMdiags3),46,0 (46 diagnoses from 46 are in VBMdiags3),
AFW_arithmetics01_1Faults_Fault1.xlsx,11,9,2,1,4,4,10,15,0,15,0,45,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,34,24 (10 diagnoses from 34 are in VBMdiags2),34,24 (10 diagnoses from 34 are in VBMdiags2),161,116 (45 diagnoses from 161 are in VBMdiags3),161,116 (45 diagnoses from 161 are in VBMdiags3),
AFW_arithmetics01_1Faults_Fault2.xlsx,11,9,2,4,4,4,44,15,10,15,10,155,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,34,0 (34 diagnoses from 34 are in VBMdiags2),34,0 (34 diagnoses from 34 are in VBMdiags2),161,6 (155 diagnoses from 161 are in VBMdiags3),161,6 (155 diagnoses from 161 are in VBMdiags3),
AFW_arithmetics01_1Faults_Fault3.xlsx,11,9,1,11,11,11,55,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,165,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,55,0 (55 diagnoses from 55 are in VBMdiags2),55,0 (55 diagnoses from 55 are in VBMdiags2),165,0 (165 diagnoses from 165 are in VBMdiags3),165,0 (165 diagnoses from 165 are in VBMdiags3),
AFW_arithmetics01_2Faults_Fault1.xlsx,11,9,1,10,11,11,55,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,165,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,55,0 (55 diagnoses from 55 are in VBMdiags2),55,0 (55 diagnoses from 55 are in VBMdiags2),165,0 (165 diagnoses from 165 are in VBMdiags3),165,0 (165 diagnoses from 165 are in VBMdiags3),
AFW_arithmetics01_2Faults_Fault2.xlsx,11,9,2,0,1,3,36,32,31,15,15,144,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,10,5 (5 diagnoses from 10 are in VBMdiags2),27,6 (21 diagnoses from 27 are in VBMdiags2),154,10 (144 diagnoses from 154 are in VBMdiags3),154,10 (144 diagnoses from 154 are in VBMdiags3),
AFW_arithmetics01_2Faults_Fault3.xlsx,11,10,2,4,4,11,43,15,9,0,- (no 2-fault minimal FDMdiags) -,157,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,34,0 (34 diagnoses from 34 are in VBMdiags2),55,12 (43 diagnoses from 55 are in VBMdiags2),161,4 (157 diagnoses from 161 are in VBMdiags3),165,8 (157 diagnoses from 165 are in VBMdiags3),
AFW_arithmetics01_3Faults_Fault1.xlsx,11,9,2,0,3,3,6,16,3,16,3,39,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,27,24 (3 diagnoses from 27 are in VBMdiags2),27,24 (3 diagnoses from 27 are in VBMdiags2),157,118 (39 diagnoses from 157 are in VBMdiags3),157,118 (39 diagnoses from 157 are in VBMdiags3),
AFW_arithmetics02_1Faults_Fault1.xlsx,16,13,1,13,16,16,117,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,559,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,120,3 (117 diagnoses from 120 are in VBMdiags2),120,3 (117 diagnoses from 120 are in VBMdiags2),560,1 (559 diagnoses from 560 are in VBMdiags3),560,1 (559 diagnoses from 560 are in VBMdiags3),
AFW_arithmetics02_1Faults_Fault2.xlsx,16,14,2,7,8,16,96,26,12,0,- (no 2-fault minimal FDMdiags) -,530,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,92,8 (84 diagnoses from 92 are in VBMdiags2),120,24 (96 diagnoses from 120 are in VBMdiags2),560,30 (530 diagnoses from 560 are in VBMdiags3),560,30 (530 diagnoses from 560 are in VBMdiags3),
AFW_arithmetics02_1Faults_Fault3.xlsx,16,13,2,7,7,7,111,29,27,29,27,555,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,84,0 (84 diagnoses from 84 are in VBMdiags2),84,0 (84 diagnoses from 84 are in VBMdiags2),556,1 (555 diagnoses from 556 are in VBMdiags3),556,1 (555 diagnoses from 556 are in VBMdiags3),
AFW_arithmetics02_2Faults_Fault1.xlsx,16,13,2,0,0,7,81,90,81,8,8,494,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,-,-,84,11 (73 diagnoses from 84 are in VBMdiags2),504,10 (494 diagnoses from 504 are in VBMdiags3),504,10 (494 diagnoses from 504 are in VBMdiags3),
AFW_arithmetics02_2Faults_Fault2.xlsx,16,14,2,5,7,16,89,29,24,0,- (no 2-fault minimal FDMdiags) -,519,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,84,19 (65 diagnoses from 84 are in VBMdiags2),120,31 (89 diagnoses from 120 are in VBMdiags2),556,37 (519 diagnoses from 556 are in VBMdiags3),560,41 (519 diagnoses from 560 are in VBMdiags3),
AFW_arithmetics02_2Faults_Fault3.xlsx,16,13,2,0,4,6,58,37,27,16,12,437,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,54,23 (31 diagnoses from 54 are in VBMdiags2),75,29 (46 diagnoses from 75 are in VBMdiags2),504,67 (437 diagnoses from 504 are in VBMdiags3),504,67 (437 diagnoses from 504 are in VBMdiags3),
AFW_arithmetics02_3Faults_Fault1.xlsx,16,14,1,13,16,16,117,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,559,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,120,3 (117 diagnoses from 120 are in VBMdiags2),120,3 (117 diagnoses from 120 are in VBMdiags2),560,1 (559 diagnoses from 560 are in VBMdiags3),560,1 (559 diagnoses from 560 are in VBMdiags3),
AFW_arithmetics03_1Faults_Fault1.xlsx,35,19,2,15,15,21,405,144,0,45,0,5405,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,405,0 (405 diagnoses from 405 are in VBMdiags2),504,99 (405 diagnoses from 504 are in VBMdiags2),6425,1020 (5405 diagnoses from 6425 are in VBMdiags3),6425,1020 (5405 diagnoses from 6425 are in VBMdiags3),
AFW_arithmetics03_1Faults_Fault2.xlsx,35,19,1,29,35,35,585,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,6539,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,595,10 (585 diagnoses from 595 are in VBMdiags2),595,10 (585 diagnoses from 595 are in VBMdiags2),6545,6 (6539 diagnoses from 6545 are in VBMdiags3),6545,6 (6539 diagnoses from 6545 are in VBMdiags3),
AFW_arithmetics03_1Faults_Fault3.xlsx,35,19,2,7,19,24,217,108,0,43,0,3269,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,475,258 (217 diagnoses from 475 are in VBMdiags2),540,323 (217 diagnoses from 540 are in VBMdiags2),6535,3266 (3269 diagnoses from 6535 are in VBMdiags3),6535,3266 (3269 diagnoses from 6535 are in VBMdiags3),
AFW_arithmetics03_2Faults_Fault1.xlsx,35,19,2,16,20,23,424,83,0,44,0,5576,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,490,66 (424 diagnoses from 490 are in VBMdiags2),529,105 (424 diagnoses from 529 are in VBMdiags2),6510,934 (5576 diagnoses from 6510 are in VBMdiags3),6510,934 (5576 diagnoses from 6510 are in VBMdiags3),
AFW_arithmetics03_2Faults_Fault2.xlsx,35,20,2,0,8,15,timeout,140,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,244,- (no 2-fault VBMdiags),405,- (no 2-fault VBMdiags),5370,- (no 3-fault VBMdiags),5405,- (no 3-fault VBMdiags),
AFW_arithmetics03_2Faults_Fault3.xlsx,35,19,2,0,8,8,timeout,140,- (no 2-fault VBMdiags) timeout,140,- (no 2-fault VBMdiags) timeout,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,244,- (no 2-fault VBMdiags),244,- (no 2-fault VBMdiags),5370,- (no 3-fault VBMdiags),5370,- (no 3-fault VBMdiags),
AFW_arithmetics03_3Faults_Fault1.xlsx,35,19,2,0,11,11,timeout,95,- (no 2-fault VBMdiags) timeout,95,- (no 2-fault VBMdiags) timeout,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,319,- (no 2-fault VBMdiags),319,- (no 2-fault VBMdiags),5566,- (no 3-fault VBMdiags),5566,- (no 3-fault VBMdiags),
AFW_arithmetics04_1Faults_Fault1.xlsx,24,23,3,7,7,14,140,32,0,20,0,1344,168,0,0,- (no 3-fault minimal FDMdiags) -,140,0 (140 diagnoses from 140 are in VBMdiags2),231,91 (140 diagnoses from 231 are in VBMdiags2),1742,398 (1344 diagnoses from 1742 are in VBMdiags3),1996,652 (1344 diagnoses from 1996 are in VBMdiags3),
AFW_arithmetics04_1Faults_Fault2.xlsx,24,23,2,3,11,16,66,69,0,20,0,694,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,198,132 (66 diagnoses from 198 are in VBMdiags2),248,182 (66 diagnoses from 248 are in VBMdiags2),2020,1326 (694 diagnoses from 2020 are in VBMdiags3),2020,1326 (694 diagnoses from 2020 are in VBMdiags3),
AFW_arithmetics04_1Faults_Fault3.xlsx,24,24,2,4,4,24,86,132,0,0,- (no 2-fault minimal FDMdiags) -,884,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,86,0 (86 diagnoses from 86 are in VBMdiags2),276,190 (86 diagnoses from 276 are in VBMdiags2),1859,975 (884 diagnoses from 1859 are in VBMdiags3),2024,1140 (884 diagnoses from 2024 are in VBMdiags3),
AFW_arithmetics04_1Faults_Fault4.xlsx,24,23,2,4,4,11,86,132,0,22,0,884,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,86,0 (86 diagnoses from 86 are in VBMdiags2),198,112 (86 diagnoses from 198 are in VBMdiags2),1859,975 (884 diagnoses from 1859 are in VBMdiags3),1859,975 (884 diagnoses from 1859 are in VBMdiags3),
AFW_arithmetics04_1Faults_Fault5.xlsx,24,23,3,7,7,14,140,32,0,20,0,1344,168,0,0,- (no 3-fault minimal FDMdiags) -,140,0 (140 diagnoses from 140 are in VBMdiags2),231,91 (140 diagnoses from 231 are in VBMdiags2),1742,398 (1344 diagnoses from 1742 are in VBMdiags3),1996,652 (1344 diagnoses from 1996 are in VBMdiags3),
AFW_arithmetics04_2Faults_Fault1.xlsx,24,24,2,0,7,24,timeout,74,- (no 2-fault VBMdiags) timeout,0,- (no 2-fault minimal FDMdiags) -,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,140,- (no 2-fault VBMdiags),276,- (no 2-fault VBMdiags),1855,- (no 3-fault VBMdiags),2024,- (no 3-fault VBMdiags),
AFW_arithmetics04_2Faults_Fault2.xlsx,24,23,2,0,7,7,timeout,52,- (no 2-fault VBMdiags) timeout,52,- (no 2-fault VBMdiags) timeout,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,140,- (no 2-fault VBMdiags),140,- (no 2-fault VBMdiags),1734,- (no 3-fault VBMdiags),1734,- (no 3-fault VBMdiags),
AFW_arithmetics04_2Faults_Fault3.xlsx,24,23,2,0,9,9,timeout,44,- (no 2-fault VBMdiags) timeout,44,- (no 2-fault VBMdiags) timeout,timeout,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,171,- (no 2-fault VBMdiags),171,- (no 2-fault VBMdiags),1855,- (no 3-fault VBMdiags),1855,- (no 3-fault VBMdiags),
AFW_arithmetics04_3Faults_Fault1.xlsx,24,23,3,0,1,6,timeout,69,- (no 2-fault VBMdiags) timeout,20,- (no 2-fault VBMdiags) timeout,timeout,80,- (no 3-fault VBMdiags) timeout,80,- (no 3-fault VBMdiags) timeout,23,- (no 2-fault VBMdiags),123,- (no 2-fault VBMdiags),1305,- (no 3-fault VBMdiags),1460,- (no 3-fault VBMdiags),
AFW_austrian_league_1Faults_Fault1.xlsx,32,91,10,1,23,23,152,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,2764,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,460,308 (152 diagnoses from 460 are in VBMdiags2),460,308 (152 diagnoses from 460 are in VBMdiags2),4876,2112 (2764 diagnoses from 4876 are in VBMdiags3),4876,2112 (2764 diagnoses from 4876 are in VBMdiags3),
AFW_austrian_league_1Faults_Fault2.xlsx,32,91,10,1,23,23,152,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,2764,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,460,308 (152 diagnoses from 460 are in VBMdiags2),460,308 (152 diagnoses from 460 are in VBMdiags2),4876,2112 (2764 diagnoses from 4876 are in VBMdiags3),4876,2112 (2764 diagnoses from 4876 are in VBMdiags3),
AFW_austrian_league_1Faults_Fault3.xlsx,32,91,10,4,23,23,118,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,1684,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,460,342 (118 diagnoses from 460 are in VBMdiags2),460,342 (118 diagnoses from 460 are in VBMdiags2),4876,3192 (1684 diagnoses from 4876 are in VBMdiags3),4876,3192 (1684 diagnoses from 4876 are in VBMdiags3),
AFW_austrian_league_1Faults_Fault4.xlsx,32,95,10,1,1,32,31,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,465,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,31,0 (31 diagnoses from 31 are in VBMdiags2),496,465 (31 diagnoses from 496 are in VBMdiags2),465,0 (465 diagnoses from 465 are in VBMdiags3),4960,4495 (465 diagnoses from 4960 are in VBMdiags3),
AFW_austrian_league_2Faults_Fault1.xlsx,32,91,10,0,22,22,6,1,1,1,1,358,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,451,446 (5 diagnoses from 451 are in VBMdiags2),451,446 (5 diagnoses from 451 are in VBMdiags2),4848,4490 (358 diagnoses from 4848 are in VBMdiags3),4848,4490 (358 diagnoses from 4848 are in VBMdiags3),
AFW_austrian_league_2Faults_Fault2.xlsx,32,92,10,1,23,32,152,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,2764,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,460,308 (152 diagnoses from 460 are in VBMdiags2),496,344 (152 diagnoses from 496 are in VBMdiags2),4876,2112 (2764 diagnoses from 4876 are in VBMdiags3),4960,2196 (2764 diagnoses from 4960 are in VBMdiags3),
AFW_austrian_league_2Faults_Fault3.xlsx,32,91,11,1,17,17,97,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,1884,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,391,294 (97 diagnoses from 391 are in VBMdiags2),391,294 (97 diagnoses from 391 are in VBMdiags2),4505,2621 (1884 diagnoses from 4505 are in VBMdiags3),4505,2621 (1884 diagnoses from 4505 are in VBMdiags3),
AFW_austrian_league_3Faults_Fault1.xlsx,32,91,10,0,22,22,144,1,1,1,1,2736,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,451,308 (143 diagnoses from 451 are in VBMdiags2),451,308 (143 diagnoses from 451 are in VBMdiags2),4848,2112 (2736 diagnoses from 4848 are in VBMdiags3),4848,2112 (2736 diagnoses from 4848 are in VBMdiags3),
AFW_bank_account_1Faults_Fault1.xlsx,27,45,13,1,10,10,26,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,325,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,215,189 (26 diagnoses from 215 are in VBMdiags2),215,189 (26 diagnoses from 215 are in VBMdiags2),2245,1920 (325 diagnoses from 2245 are in VBMdiags3),2245,1920 (325 diagnoses from 2245 are in VBMdiags3),
AFW_bank_account_1Faults_Fault2.xlsx,27,46,13,1,13,27,26,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,325,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,260,234 (26 diagnoses from 260 are in VBMdiags2),351,325 (26 diagnoses from 351 are in VBMdiags2),2561,2236 (325 diagnoses from 2561 are in VBMdiags3),2925,2600 (325 diagnoses from 2925 are in VBMdiags3),
AFW_bank_account_1Faults_Fault3.xlsx,27,45,13,1,7,7,27,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,349,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,161,134 (27 diagnoses from 161 are in VBMdiags2),161,134 (27 diagnoses from 161 are in VBMdiags2),1785,1436 (349 diagnoses from 1785 are in VBMdiags3),1785,1436 (349 diagnoses from 1785 are in VBMdiags3),
AFW_bank_account_1Faults_Fault4.xlsx,27,45,13,1,12,12,26,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,325,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,246,220 (26 diagnoses from 246 are in VBMdiags2),246,220 (26 diagnoses from 246 are in VBMdiags2),2470,2145 (325 diagnoses from 2470 are in VBMdiags3),2470,2145 (325 diagnoses from 2470 are in VBMdiags3),
AFW_bank_account_1Faults_Fault5.xlsx,27,45,13,1,6,6,26,0,- (no 2-fault minimal QDMdiags) -,0,- (no 2-fault minimal FDMdiags) -,325,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,141,115 (26 diagnoses from 141 are in VBMdiags2),141,115 (26 diagnoses from 141 are in VBMdiags2),1595,1270 (325 diagnoses from 1595 are in VBMdiags3),1595,1270 (325 diagnoses from 1595 are in VBMdiags3),
